"","player.id","pos","last","first","numfirstlast","firstlast","index","woi.id","pC","pL","pR","pD","pG","DOB","Height","Weight","Shoots","HOME_CF.x","HOME_CA.x","AWAY_CF.x","AWAY_CA.x","CF.x","CA.x","CPLUSMINUS.x","CFpercent.x","HOME_CF.y","HOME_CA.y","AWAY_CF.y","AWAY_CA.y","CF.y","CA.y","CPLUSMINUS.y","CFpercent.y","XFACTOR","TOTALCF","TOTALCA","TOTALCplusminus","TOTALCFpercent","XFACTORplusminus"
"11","1006","D","Cukste","Karlis","[CAP] Karlis Cukste","Karlis Cukste",2322,"cukstka97",NA,NA,NA,NA,NA,"1997-06-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1007","L","Culek","Jakub","[TSN] Jakub Culek","Jakub Culek",2323,"culekja92",0,0,0,0,0,"1992-09-07","6-3","185","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1008","D","Culkin","Ryan","[TSN] Ryan Culkin","Ryan Culkin",2325,"culkiry93",0,0,0,0,0,"1993-12-15","6-1","176","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1009","R","Cullen","Brandon","[TSN] Brandon Cullen","Brandon Cullen",2327,"cullebr81",0,0,0,0,0,"1981-03-05","6-0","212","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","101","D","Aneloski","Bryce","[TSN] Bryce Aneloski","Bryce Aneloski",207,"anelobr90",0,0,0,0,0,"1990-04-27","6-2","197","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1010","D","Cullen","David","[TSN] David Cullen","David Cullen",2328,"culleda76",0,0,0,0,0,"1976-12-30","6-2","209","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1011","CL","Cullen","Mark","[TSN] Mark Cullen","Mark Cullen",2329,"cullema78",0,0,0,0,0,"1978-10-28","5-11","182","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1012","LC","Cullen","Matt","[TSN] Matt Cullen","Matt Cullen",2333,"cullema76",0,0,0,0,0,"1976-11-02","6-1","200","L",227,177,181,177,408,354,54,53.5433070866142,104,89,241,237,345,326,19,51.4157973174367,2.12750976917751,753,680,1433,52.5471039776692,35
"19","1013","D","Cullimore","Jassen","[TSN] Jassen Cullimore","Jassen Cullimore",2340,"cullija72",0,0,0,0,0,"1972-12-04","6-5","235","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1014","D","Cuma","Tyler","[TSN] Tyler Cuma","Tyler Cuma",2343,"cumaxty90",0,0,0,0,0,"1990-01-19","6-1","194","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1015","D","Cumiskey","Kyle","[TSN] Kyle Cumiskey","Kyle Cumiskey",2345,"cumisky86",0,0,0,0,0,"1986-12-02","5-10","185","L",52,50,41,40,93,90,3,50.8196721311475,37,32,28,20,65,52,13,55.5555555555556,-4.73588342440802,158,142,300,52.6666666666667,-10
"22","1016","R","Cummins","Jim","[TSN] Jim Cummins","Jim Cummins",2350,"cummiji70",0,0,0,0,0,"1970-05-17","6-2","212","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1017","D","Cundari","Mark","[TSN] Mark Cundari","Mark Cundari",2352,"cundama90",0,0,0,0,0,"1990-04-23","5-9","195","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","1018","L","Cunning","Cam","[TSN] Cam Cunning","Cam Cunning",2355,"cunnica85",0,0,0,0,0,"1985-06-04","6-1","213","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","1019","RC","Cunningham","Craig","[TSN] Craig Cunningham","Craig Cunningham",2356,"cunnicr90",0,0,0,0,0,"1990-09-13","5-10","184","R",72,86,26,59,98,145,-47,40.3292181069959,147,160,96,140,243,300,-57,44.7513812154696,-4.42216310847373,341,445,786,43.3842239185751,10
"26","102","L","Angelidis","Mike","[TSN] Mike Angelidis","Mike Angelidis",208,"angelmi85",0,0,0,0,0,"1985-06-27","6-1","212","L",4,4,NA,NA,NA,NA,NA,NA,5,8,7,2,12,10,2,54.5454545454545,NA,NA,NA,NA,NA,NA
"27","1020","CL","Cunti","Luca","[TSN] Luca Cunti","Luca Cunti",2360,"cuntilu89",0,0,0,0,0,"1989-07-04","6-0","190","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1021","D","Curcuruto","Gianluca","[TSN] Gianluca Curcuruto","Gianluca Curcuruto",2361,"curcugi94",0,0,0,0,0,"1994-02-25","6-0","195","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1022","G","Curry","John","[TSN] John Curry","John Curry",2362,"curryjo84",0,0,0,0,0,"1984-02-27","5-11","185","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1023","D","Curry","Sean","[TSN] Sean Curry","Sean Curry",2367,"curryse82",0,0,0,0,0,"1982-04-29","6-4","230","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1024","D","Cutta","Jakub","[TSN] Jakub Cutta","Jakub Cutta",2368,"cuttaja81",0,0,0,0,0,"1981-12-29","6-3","214","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1025",NA,"Czarnik","Austin","[CAP] CZARNIK, AUSTIN","Austin Czarnik",2370,"czarnau92",NA,NA,NA,NA,NA,"1992-12-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1026","C","Czarnik","Robert","[TSN] Robert Czarnik","Robert Czarnik",2371,"czarnro90",0,0,0,0,0,"1990-01-25","6-0","189","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1027","R","Czerkawski","Mariusz","[TSN] Mariusz Czerkawski","Mariusz Czerkawski",2372,"czerkma72",0,0,0,0,0,"1972-04-13","6-0","200","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1028","RL","Czerwonka","Drew","[TSN] Drew Czerwonka","Drew Czerwonka",2376,"czerwdr92",0,0,0,0,0,"1992-07-01","6-2","194","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1029","D","Czuczman","Kevin","[TSN] Kevin Czuczman","Kevin Czuczman",2377,"czuczke91",0,0,0,0,0,"1991-01-09","6-3","204","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","103","C","Angello","Anthony","[CAP] ANGELLO, ANTHONY","Anthony Angello",213,"angelan96",0,0,0,0,0,"1996-03-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1030","G","Daccord","Joel","[CAP] Joel Daccord","Joel Daccord",2380,"daccojo96",NA,NA,NA,NA,NA,"1996-08-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1031","R","Dackell","Andreas","[TSN] Andreas Dackell","Andreas Dackell",2381,"dackean72",0,0,0,0,0,"1972-12-29","5-11","194","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1032","C","Da Costa","Stephane","[TSN] Stephane Da Costa","Stephane Da Costa",2383,"dacosst89",0,0,0,0,0,"1989-07-11","5-11","180","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1033","RL","Dadonov","Evgeny","[TSN] Evgenii Dadonov","Evgeny Dadonov",2386,"dadonev89",0,0,0,0,0,"1989-03-12","5-11","185","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1034","G","Dafoe","Byron","[TSN] Byron Dafoe","Byron Dafoe",2390,"dafoeby71",0,0,0,0,0,"1971-02-25","5-11","200","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1035","L","Dagenais","Pierre","[TSN] Pierre Dagenais","Pierre Dagenais",2392,"dagenpi78",0,0,0,0,0,"1978-03-04","6-4","217","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","1036","RL","D'Agostini","Matt","[TSN] Matt D'Agostini","Matt D'Agostini",2394,"dagosma86",0,0,0,0,0,"1986-10-23","6-0","198","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1037","D","D'Agostino","Nicholas","[TSN] Nick D'Agostino","Nicholas D'Agostino",2399,"dagosni90",0,0,0,0,0,"1990-06-24","6-2","197","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","1038","D","Dahl","Kevin","[TSN] Kevin Dahl","Kevin Dahl",2401,"dahlxke68",0,0,0,0,0,"1968-12-30","5-11","190","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","1039","D","Dahlbeck","Klas","[TSN] Klas Dahlbeck","Klas Dahlbeck",2402,"dahlbkl91",0,0,0,0,0,"1991-07-06","6-2","194","L",26,37,53,54,79,91,-12,46.4705882352941,145,190,62,86,207,276,-69,42.8571428571429,3.61344537815126,286,367,653,43.7978560490046,57
"48","104","L","Angelstad","Mel","[TSN] Mel Angelstad","Mel Angelstad",214,"angelme72",0,0,0,0,0,"1972-10-31","6-2","214","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1040","L","Dahlberg","Johan","[TSN] Johan Dahlberg","Johan Dahlberg",2406,"dahlbjo87",0,0,0,0,0,"1987-02-03","6-2","194","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1041","RL","Dahlen","Ulf","[TSN] Ulf Dahlen","Ulf Dahlen",2407,"dahleul67",0,0,0,0,0,"1967-01-12","6-2","199","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","1042","RL","Dahlman","Toni","[TSN] Toni Dahlman","Toni Dahlman",2409,"dahlmto79",0,0,0,0,0,"1979-09-03","6-0","193","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","1043","R","Dahlstrom","John","[CAP] John Dahlstrom","John Dahlstrom",2411,"dahlsjo97",NA,NA,NA,NA,NA,"1997-01-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","1044","C","Dahlstrom","Andreas","[TSN] Andreas Dahlstrom","Andreas Dahlstrom",2412,"dahlsan91",0,0,0,0,0,"1991-06-22","5-11","176","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","1045","D","Dahlstrom","Carl","[TSN] Carl Dahlstrom","Carl Dahlstrom",2413,"dahlsca95",0,0,0,0,0,"1995-01-28","6-3","211","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1046","RL","Daigle","Alexandre","[TSN] Alexandre Daigle","Alexandre Daigle",2415,"daiglal75",0,0,0,0,0,"1975-02-07","6-0","195","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1047","G","Daigneault","Maxime","[TSN] Maxime Daigneault","Maxime Daigneault",2418,"daignma84",0,0,0,0,0,"1984-01-23","6-3","202","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1048","G","Dakers","Taylor","[TSN] Taylor Dakers","Taylor Dakers",2420,"dakerta86",0,0,0,0,0,"1986-09-14","6-1","175","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1049","L","Dal Colle","Michael","[TSN] Michael Dal Colle","Michael Dal Colle",2421,"dalcomi96",0,0,0,0,0,"1996-06-20","6-2","182","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","105","D","Anikeyenko","Vitaly","[TSN] Vitaly Anikeyenko","Vitaly Anikeyenko",216,"anikevi87",0,0,0,0,0,"1987-01-02","6-3","198","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","1050","D","Daley","Trevor","[TSN] Trevor Daley","Trevor Daley",2423,"daleytr83",0,0,0,0,0,"1983-10-09","5-11","198","L",180,231,247,343,427,574,-147,42.6573426573427,362,339,205,268,567,607,-40,48.2964224872232,-5.63907982988052,994,1181,2175,45.7011494252874,-107
"61","1051","D","Dallman","Kevin","[TSN] Kevin Dallman","Kevin Dallman",2427,"dallmke81",0,0,0,0,0,"1981-02-26","5-11","195","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1052","RC","Dalpe","Zac","[TSN] Zac Dalpe","Zac Dalpe",2430,"dalpeza89",0,0,0,0,0,"1989-11-01","6-1","195","R",16,30,17,20,33,50,-17,39.7590361445783,49,53,58,93,107,146,-39,42.2924901185771,-2.53345397399877,140,196,336,41.6666666666667,22
"63","1053","G","Dalton","Matt","[TSN] Matt Dalton","Matt Dalton",2435,"daltoma86",0,0,0,0,0,"1986-07-04","6-1","181","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1054","D","Daly","Patrick","[TSN] Patrick Daly","Patrick Daly",2437,"dalyxpa92",0,0,0,0,0,"1992-06-09","6-0","178","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","1055","L","D'Amigo","Jerry","[TSN] Jerry D'Amigo","Jerry D'Amigo",2439,"damigje91",0,0,0,0,0,"1991-02-19","5-11","208","L",NA,NA,4,5,NA,NA,NA,NA,22,29,31,49,53,78,-25,40.4580152671756,NA,NA,NA,NA,NA,NA
"66","1056","D","D'Amour","Dominic","[TSN] Dominic D'Amour","Dominic D'Amour",2443,"damoudo84",0,0,0,0,0,"1984-01-28","6-3","202","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1057","G","Damphousse","J-F","[TSN] J-F Damphousse","J-F Damphousse",2444,"damphjf79",0,0,0,0,0,"1979-07-21","6-0","180","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1058","CL","Damphousse","Vincent","[TSN] Vincent Damphousse","Vincent Damphousse",2446,"damphvi67",0,0,0,0,0,"1967-12-17","6-1","200","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1059","CL","Danault","Phillip","[TSN] Phillip Danault","Phillip Danault",2448,"danauph93",0,0,0,0,0,"1993-02-24","6-0","184","L",NA,NA,11,8,NA,NA,NA,NA,NA,NA,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","106","C","Anisimov","Artem","[TSN] Artem Anisimov","Artem Anisimov",217,"anisiar88",0,0,0,0,0,"1988-05-24","6-4","200","L",124,118,125,165,249,283,-34,46.8045112781955,181,128,128,114,309,242,67,56.0798548094374,-9.27534353124191,558,525,1083,51.5235457063712,-101
"71","1060","DR","Dandenault","Mathieu","[TSN] Mathieu Dandenault","Mathieu Dandenault",2451,"dandema76",0,0,0,0,0,"1976-02-03","6-0","208","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","1061","D","Daneyko","Ken","[TSN] Ken Daneyko","Ken Daneyko",2454,"daneyke64",0,0,0,0,0,"1964-04-17","6-1","215","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","1062","R","Daniels","Drew","[TSN] Drew Daniels","Drew Daniels",2456,"daniedr89",0,0,0,0,0,"1989-06-07","6-1","190","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","1063","L","Daniels","Jeff","[TSN] Jeff Daniels","Jeff Daniels",2457,"danieje68",0,0,0,0,0,"1968-06-24","6-1","200","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","1064","C","Daniels","Justin","[TSN] Justin Daniels","Justin Daniels",2459,"danieju89",0,0,0,0,0,"1989-06-07","6-1","175","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","1065","G","Daniels","Ryan","[TSN] Ryan Daniels","Ryan Daniels",2460,"daniery88",0,0,0,0,0,"1988-06-22","6-1","205","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","1066","R","Danielsson","Nicklas","[TSN] Nicklas Danielsson","Nicklas Danielsson",2461,"danieni84",0,0,0,0,0,"1984-12-07","6-1","169","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","1067","C","Danilics","Raimonds","[TSN] Raimonds Danilics","Raimonds Danilics",2462,"danilra85",0,0,0,0,0,"1985-07-17","6-3","180","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","1068","G","Danis","Yann","[TSN] Yann Danis","Yann Danis",2463,"danisya81",0,0,0,0,0,"1981-06-21","6-0","185","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","1069","D","Danis-Pepin","Simon","[TSN] Simon Danis-Pepin","Simon Danis-Pepin",2467,"danissi88",0,0,0,0,0,"1988-04-11","6-8","235","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","107","L","Anshakov","Sergei","[TSN] Sergei Anshakov","Sergei Anshakov",220,"anshase84",0,0,0,0,0,"1984-01-13","6-3","179","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","1070","C","Dano","Marko","[TSN] Marko Dano","Marko Dano",2468,"danoxma94",0,0,0,0,0,"1994-11-30","5-11","183","L",76,53,146,152,222,205,17,51.9906323185012,111,91,70,52,181,143,38,55.8641975308642,-3.87356521236303,403,348,751,53.6617842876165,-21
"83","1071","G","Dansk","Oscar","[TSN] Oscar Dansk","Oscar Dansk",2471,"danskos94",0,0,0,0,0,"1994-02-28","6-3","186","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","1072","C","Danton","Mike","[TSN] Mike Danton","Mike Danton",2474,"dantomi80",0,0,0,0,0,"1980-10-21","5-9","190","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1073","R","Daoust","Jean-Michel","[TSN] Jean-Michel Daoust","Jean-Michel Daoust",2476,"daousje83",0,0,0,0,0,"1983-11-24","5-7","175","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","1074","C","Darby","Craig","[TSN] Craig Darby","Craig Darby",2477,"darbycr72",0,0,0,0,0,"1972-09-26","6-4","200","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","1075","LR","Darche","Mathieu","[TSN] Mathieu Darche","Mathieu Darche",2480,"darchma76",0,0,0,0,0,"1976-11-26","6-1","215","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","1076","C","Darcy","Cameron","[TSN] Cameron Darcy","Cameron Darcy",2486,"darcyca94",0,0,0,0,0,"1994-03-02","6-0","192","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","1077","G","Darling","Scott","[TSN] Scott Darling","Scott Darling",2488,"darlisc88",0,0,0,0,0,"1988-12-22","6-6","190","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","1078","LR","Darzins","Lauris","[TSN] Lauris Darzins","Lauris Darzins",2491,"darzila85",0,0,0,0,0,"1985-01-28","6-3","192","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","1079","R","Dasilva","Dan","[TSN] Dan DaSilva","Dan Dasilva",2492,"dasilda85",0,0,0,0,0,"1985-04-30","6-1","195","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","108","L","Anthony","Steven","[TSN] Steven Anthony","Steven Anthony",222,"anthost91",0,0,0,0,0,"1991-03-21","6-1","205","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","1080","CL","Datsyuk","Pavel","[TSN] Pavel Datsyuk","Pavel Datsyuk",2493,"datsypa78",0,0,0,0,0,"1978-07-20","5-11","198","L",225,167,267,189,492,356,136,58.0188679245283,245,123,302,202,547,325,222,62.7293577981651,-4.71048987363683,1039,681,1720,60.406976744186,-86
